case_id,week,popwght,state,nielsen,metro,region,division,ownhome,mstatus,emply,hhcomp,adults,adultm,adultf,kids1217,kids611,kids06,di22a1,di22a2,di22a3,di22a4,di22a5,di22b1,di22b2,di22b3,di22b4,di22b5,di22c1,di22c2,di22c3,di22c4,di22c5,parent,age,age2,educ,income,race,affilrot,polaffil,d3rot,d3_a,regvote,othtel,sex,reli1,ident,l1,c1,c1a,qnco1,qnco3,partycbs,pphl3,age30,age50,age65,age5,degree,income3,income10,married,parents,cbsrace,cbsreli6,cbsreli2,cbschris,sumo1,sumo2,su3rot,sumo3,su4rot,sumo4,su5rot,sumo5,sumo6,sumo9,sumo7,su8rot,sumo8,sumo10,sumo11,su12rot,sumo12,su13rot,sumo13
10000083,803,.4231,CA,A,Non-Center City (Metro),West,Pacific,Owned,Married,Retired,Two,Two,One,One, , , , , , , , , , , , , , , , , , , ,Refused,65+,Some college,"$40,000 but less than $50,000",White Non-Hispanic,Male Democrat/Republican,A Republican,d3 1-5 asked,Very conservative,Yes,None,Male,Christian (Just Christian),Landline,"Yes, respondent or someone in household has cell phone", ,7, , ,Republicans,Conservative,30+,50+,65+,65+,No degree,Under $50k,Under $100k,Married,No,White,Protestant,Religious,Yes,Less likely,Sometimes,too many/too few,Don't know/no answer,big/small,Small screen,in theater/at home,More at home,Don't know/no answer,Won't watch, ,34152,Pepperoni,No,Don't know/no answer,women/men,Women more romantic,quality/size,Quality
10000084,803,.9579,CA,A,Center City (Metro),West,Pacific,Rented,Married,Retired,Two,Two,One,One, , , , , , , , , , , , , , , , , , , ,71, ,Graduate school or more,"$75,000 but less than $100,000",White Non-Hispanic,Male Democrat/Republican,An Independent,d3 1-5 asked,Somewhat conservative,Yes,None,Male,Protestant,Landline,"Yes, respondent or someone in household has cell phone", ,1, , ,Independents,Conservative,30+,50+,65+,65+,Post grad,$50k but under $100k,Under $100k,Married,No,White,Protestant,Religious,Yes,Wouldn't matter much,Sometimes,too few/too many,Too many,small/big,Small screen,at home/in theater,More at home,Quality of work,Will watch,"No, won't eat pizza",41352,Onions,Yes,Yes,women/men,Men more romantic,quality/size,Quality
10000085,803,.25,CA,A,Center City (Metro),West,Pacific,Owned,Widowed,Retired,One,One,None,One, , , , , , , , , , , , , , , , , , , ,78, ,Graduated college,Refused,White Non-Hispanic,Male Democrat/Republican,A Democrat,d3 1-5 asked,Somewhat conservative,Yes,None,Female,"Catholic, Roman Catholic",Landline,No, , , , ,Democrats,Conservative,30+,50+,65+,65+,College,Don't know/no answer,Don't know/no answer,Not married,No,White,Catholic,Religious,Yes,Wouldn't matter much,Frequently,too many/too few,Too many,small/big,Small screen,in theater/at home,More at home,Quality of work,Won't watch, ,21435,Pepperoni,Yes,No,women/men,Women more romantic,quality/size,Quality
10000086,803,1.0643,CA,B,Center City County (Metro),West,Pacific,Owned,Married,Full-time,Two,Two,One,One, , , , , , , , , , , , , , , , , , , ,64, ,Graduated college,"$75,000 but less than $100,000",White Non-Hispanic,Male Democrat/Republican,A Republican,d3 5-1 asked,Somewhat conservative,Yes,None,Female,Protestant,Landline,"Yes, respondent or someone in household has cell phone", ,1, , ,Republicans,Conservative,30+,50+,18-64,55-64,College,$50k but under $100k,Under $100k,Married,No,White,Protestant,Religious,Yes,Wouldn't matter much,Rarely,too few/too many,Right amount,big/small,Big screen,in theater/at home,Same amount,Don't know/no answer,Will watch,"No, won't eat pizza",45123,Sausage,Yes,Yes,women/men,Women more romantic,quality/size,Quality
10000087,803,.7837,OR,B,Surburban (Metro),West,Pacific,Owned,Married,Retired,Two,Two,One,One, , , , , , , , , , , , , , , , , , , ,62, ,Some college,"$75,000 but less than $100,000",White Non-Hispanic,Male Democrat/Republican,A Democrat,d3 5-1 asked,Moderate,Yes,None,Female,Protestant,Landline,"Yes, respondent or someone in household has cell phone", ,2, , ,Democrats,Moderate,30+,50+,18-64,55-64,No degree,$50k but under $100k,Under $100k,Married,No,White,Protestant,Religious,Yes,Wouldn't matter much,Sometimes,too many/too few,Right amount,big/small,Small screen,at home/in theater,More at home,Prejudice played a role,Will watch,"No, won't eat pizza",12354,Pepperoni,No,No,women/men,No difference,quality/size,Quality
10000088,803,.7378,CA,C,Center City (Metro),West,Pacific,Owned,Married,Retired,Two,Two,One,One, , , , , , , , , , , , , , , , , , , ,70, ,Graduated college,"$75,000 but less than $100,000",White Non-Hispanic,Male Democrat/Republican,A Republican,d3 5-1 asked,Somewhat conservative,Yes,None,Male,Nothing in particular,Landline,No, , , , ,Republicans,Conservative,30+,50+,65+,65+,College,$50k but under $100k,Under $100k,Married,No,White,None,Non-religious,No,Wouldn't matter much,Rarely,too few/too many,Too many,big/small,Small screen,at home/in theater,More at home,Quality of work,Won't watch, ,23514,Pepperoni,Yes,Yes,men/women,Women more romantic,quality/size,Quality
10000089,803,.2615,WA,A,Center City (Metro),West,Pacific,Rented,Widowed,Retired,One,One,None,One, , , , , , , , , , , , , , , , , , , ,92, ,Graduate school or more,"$50,000 but less than $75,000",White Non-Hispanic,Male Democrat/Republican,A Democrat,d3 1-5 asked,Somewhat conservative,Yes,None,Female,Lutheran,Landline,No, , , , ,Democrats,Conservative,30+,50+,65+,65+,Post grad,$50k but under $100k,Under $100k,Not married,No,White,Protestant,Religious,Yes,Wouldn't matter much,Don't know/no answer,too many/too few,Don't know/no answer,small/big,Don't know/no answer,at home/in theater,Don't know/no answer,Don't know/no answer,Won't watch, ,54213,Don't eat pizza,No,Yes,women/men,Men more romantic,size/quality,Quality
10000090,803,.278,WA,D,Non-Metro,West,Pacific,Owned,"Single, that is never married",Disabled/Handicapped,One,One,One,None, , , , , , , , , , , , , , , , , , , ,29, ,Some college,"Less than $15,000",White Hispanic,Male Democrat/Republican,An Independent,d3 5-1 asked,Moderate,Yes,None,Male,Other,Landline,No, , ,United States, ,Independents,Moderate,18-29,18-49,18-64,18-34,No degree,Under $50k,Under $100k,Not married,No,White,Other,Religious,No,Wouldn't matter much,Sometimes,too many/too few,Too many,big/small,Small screen,at home/in theater,Same amount,Quality of work,Will watch,"No, won't eat pizza",51423,Pepperoni,Yes,No,women/men,Don't know/no answer,quality/size,Quality
10000091,803,.5174,MT,D,Non-Metro,West,Mountain,Rented,Divorced,Retired,One,One,One,None, , , , , , , , , , , , , , , , , , , ,Refused,50-64,High school graduate,"Less than $15,000",White Non-Hispanic,Male Democrat/Republican,A Republican,d3 1-5 asked,Moderate,Don't know,None,Male,Protestant,Landline,No, , , , ,Republicans,Moderate,30+,50+,18-64,Don't know/no answer,No degree,Under $50k,Under $100k,Not married,No,White,Protestant,Religious,Yes,Wouldn't matter much,Rarely,too many/too few,Too many,small/big,Small screen,in theater/at home,More at home,Don't know/no answer,Will watch,Don't know/no answer,12534,Pepperoni,Yes,Yes,men/women,No difference,size/quality,Don't know/no answer
10000092,803,.6219,NE,D,Non-Metro,North Central,West North Central,Owned,Married,Full-time,Three,Two,One,One,One,None,None,17, , , , , , , , , , , , , , ,Yes,52, ,Graduated college,"$15,000 but less than $25,000",White Non-Hispanic,Male Democrat/Republican,A Republican,d3 5-1 asked,Somewhat conservative,Yes,One,Female,Protestant,Landline,"Yes, respondent or someone in household has cell phone", ,1, , ,Republicans,Conservative,30+,50+,18-64,45-54,College,Under $50k,Under $100k,Married,Yes,White,Protestant,Religious,Yes,Wouldn't matter much,Sometimes,too many/too few,Too many,big/small,Small screen,in theater/at home,More at home,Quality of work,Will watch,"No, won't eat pizza",14523,Sausage,No,No,women/men,Women more romantic,size/quality,Quality
10000093,803,1.1433,CO,B,Center City (Metro),West,Mountain,Owned,Married,Part-time,Two,Two,One,One, , , , , , , , , , , , , , , , , , , ,60, ,Graduated college,"$50,000 but less than $75,000",Native American/American Indian/Alaska Native,Male Democrat/Republican,A Democrat,d3 1-5 asked,Moderate,Yes,None,Female,Jewish/Judaism,Landline,"Yes, respondent or someone in household has cell phone", ,1, , ,Democrats,Moderate,30+,50+,18-64,55-64,College,$50k but under $100k,Under $100k,Married,No,Other/Mixed,Jewish,Religious,No,Wouldn't matter much,Rarely,too many/too few,Too many,small/big,Small screen,at home/in theater,More at home,Don't know/no answer,Won't watch, ,53412,Mushrooms,Yes,Yes,women/men,Women more romantic,size/quality,Size
10000095,803,1.2708,WA,B,Center City County (Metro),West,Pacific,Owned,Married,Retired,Two,Two,One,One, , , , , , , , , , , , , , , , , , , ,59, ,High school graduate,Refused,White Non-Hispanic,Male Republican/Democrat,A Democrat,d3 1-5 asked,Moderate,Yes,None,Female,Jewish/Judaism,Landline,"Yes, respondent or someone in household has cell phone", ,1, , ,Democrats,Moderate,30+,50+,18-64,55-64,No degree,Don't know/no answer,Don't know/no answer,Married,No,White,Jewish,Religious,No,Wouldn't matter much,Rarely,too many/too few,Right amount,big/small,Small screen,at home/in theater,More at home,Prejudice played a role,Won't watch, ,14523,Sausage,No,No,men/women,Women more romantic,size/quality,Don't know/no answer
10000097,803,.8809,AK,D,Non-Metro,West,Pacific,Owned,Married,Retired,Two,Two,One,One, , , , , , , , , , , , , , , , , , , ,70, ,High school graduate,"$30,000 but less than $40,000",Refused,Male Republican/Democrat,An Independent,d3 1-5 asked,Don't know,Yes,None,Male,Nothing in particular,Landline,No, , , , ,Independents,Don't know/no answer,30+,50+,65+,65+,No degree,Under $50k,Under $100k,Married,No,Don't know/No answer,None,Non-religious,No,Wouldn't matter much,Rarely,too many/too few,Right amount,big/small,Small screen,at home/in theater,More at home,Don't know/no answer,Won't watch, ,15324,Pepperoni,No,Yes,men/women,Women more romantic,size/quality,Quality
10000098,803,.4149,UT,C,Non-Metro,West,Mountain,Owned,Married,Retired,Two,Two,One,One, , , , , , , , , , , , , , , , , , , ,86, ,Some college,"$40,000 but less than $50,000",White Non-Hispanic,Male Republican/Democrat,A Republican,d3 1-5 asked,Very conservative,Yes,None,Male,Mormon (Church of Jesus Christ of Latter-Day Saints/LDS),Landline,"Yes, respondent or someone in household has cell phone", ,Don't Know, , ,Republicans,Conservative,30+,50+,65+,65+,No degree,Under $50k,Under $100k,Married,No,White,Other,Religious,Yes,Wouldn't matter much,Sometimes,too many/too few,Don't know/no answer,big/small,Small screen,in theater/at home,More at home,Quality of work,Won't watch, ,51234,Pepperoni,No,Yes,women/men,Men more romantic,size/quality,Quality
10000102,803,.4028,AK,D,Center City (Metro),West,Pacific,Owned,Married,Full-time,Four,Four,Three,One, , , , , , , , , , , , , , , , , , , ,69, ,Some college,"$50,000 but less than $75,000",White Non-Hispanic,Male Republican/Democrat,An Independent,d3 1-5 asked,Somewhat conservative,Yes,None,Female,Lutheran,Landline,"Yes, respondent or someone in household has cell phone", ,3, , ,Independents,Conservative,30+,50+,65+,65+,No degree,$50k but under $100k,Under $100k,Married,No,White,Protestant,Religious,Yes,Less likely,Don't know/no answer,too few/too many,Too many,big/small,Don't know/no answer,at home/in theater,Same amount,Prejudice played a role,Will watch,"Yes, will eat pizza",41532,Don't know/no answer,No,Yes,women/men,No difference,quality/size,Quality
10000103,803,.593,MT,C,Center City (Metro),West,Mountain,Owned,Separated,Retired,Two,Two,One,One, , , , , , , , , , , , , , , , , , , ,66, ,Some college,"$50,000 but less than $75,000",White Non-Hispanic,Male Republican/Democrat,A Republican,d3 5-1 asked,Very conservative,No,None,Male,Protestant,Landline,"Yes, respondent or someone in household has cell phone", ,1, , ,Republicans,Conservative,30+,50+,65+,65+,No degree,$50k but under $100k,Under $100k,Not married,No,White,Protestant,Religious,Yes,Wouldn't matter much,Never,too few/too many,Right amount,small/big,Small screen,at home/in theater,More at home,Don't know/no answer,Will watch,"No, won't eat pizza",53421,Pepperoni,Yes,No,women/men,Women more romantic,size/quality,Quality
10000104,803,.4099,CA,A,Center City (Metro),West,Pacific,Rented,"Single, that is never married",Part-time,One,One,None,One, , , , , , , , , , , , , , , , , , , ,70, ,Some college,"Less than $15,000",White Non-Hispanic,Male Republican/Democrat,A Democrat,d3 1-5 asked,Moderate,Don't know,None,Female,Protestant,Landline,"Yes, respondent or someone in household has cell phone", ,1, , ,Democrats,Moderate,30+,50+,65+,65+,No degree,Under $50k,Under $100k,Not married,No,White,Protestant,Religious,Yes,Wouldn't matter much,Sometimes,too few/too many,Too many,big/small,Small screen,in theater/at home,More at home,Prejudice played a role,Will watch,"Yes, will eat pizza",31254,Mushrooms,Yes,No,men/women,Women more romantic,size/quality,Quality
10000106,803,.509,AZ,B,Center City (Metro),West,Mountain,Rented,"Single, living with a partner",Disabled/Handicapped,Two,Two,One,One, , , , , , , , , , , , , , , , , , , ,56, ,Some college,"$15,000 but less than $25,000",White Non-Hispanic,Male Republican/Democrat,A Democrat,d3 1-5 asked,Moderate,Yes,None,Female,"Catholic, Roman Catholic",Landline,"Yes, respondent or someone in household has cell phone", ,2, , ,Democrats,Moderate,30+,50+,18-64,55-64,No degree,Under $50k,Under $100k,Not married,No,White,Catholic,Religious,Yes,Wouldn't matter much,Sometimes,too many/too few,Too many,small/big,Small screen,at home/in theater,More at home,Quality of work,Will watch,"Yes, will eat pizza",54213,Sausage,Yes,Yes,women/men,Women more romantic,size/quality,Quality
10000108,803,.5562,CA,A,Center City (Metro),West,Pacific,Owned,Married,Full-time,Two,Two,One,One, , , , , , , , , , , , , , , , , , , ,69, ,Some college,"$150,000 to under $200,000",White Non-Hispanic,Male Democrat/Republican,A Democrat,d3 5-1 asked,Very liberal,Yes,Three,Male,Jewish/Judaism,Landline,"Yes, respondent or someone in household has cell phone", ,1, , ,Democrats,Liberal,30+,50+,65+,65+,No degree,$100k+,$100k+,Married,No,White,Jewish,Religious,No,Wouldn't matter much,Sometimes,too many/too few,Right amount,big/small,Big screen,in theater/at home,Same amount,Don't know/no answer,Will watch,Don't know/no answer,35214,Sausage,Yes,Yes,men/women,Women more romantic,size/quality,Quality
10000109,803,1.0988,CA,A,Non-Center City (Metro),West,Pacific,Owned,Married,Full-time,Two,Two,One,One, , , , , , , , , , , , , , , , , , , ,62, ,Some college,"$75,000 but less than $100,000",White Non-Hispanic,Male Democrat/Republican,An Independent,d3 5-1 asked,Very conservative,Yes,One,Male,Agnostic,Landline,"Yes, respondent or someone in household has cell phone", ,1, , ,Independents,Conservative,30+,50+,18-64,55-64,No degree,$50k but under $100k,Under $100k,Married,No,White,None,Non-religious,No,Wouldn't matter much,Don't know/no answer,too many/too few,Don't know/no answer,small/big,Small screen,at home/in theater,More at home,Quality of work,Will watch,"No, won't eat pizza",25143,Sausage,No,No,men/women,Don't know/no answer,size/quality,Quality
10000110,803,1.7208,CA,A,Non-Center City (Metro),West,Pacific,Owned,"Single, living with a partner",Full-time,Refused,Refused, , , , , , , , , , , , , , , , , , , , , ,26, ,Some college,"$50,000 but less than $75,000",Refused,Male Democrat/Republican,Don't know,d3 5-1 asked,Somewhat conservative,No,None,Female,Christian (Just Christian),Landline,"Yes, respondent or someone in household has cell phone", ,0, , ,Independents,Conservative,18-29,18-49,18-64,18-34,No degree,$50k but under $100k,Under $100k,Not married,No,Don't know/No answer,Protestant,Religious,Yes,Wouldn't matter much,Sometimes,too few/too many,Too many,big/small,Small screen,in theater/at home,More at a theater,Quality of work,Won't watch, ,14325,Sausage,Yes,Yes,men/women,No difference,size/quality,Quality
10000111,803,.499,CA,A,Non-Center City (Metro),West,Pacific,Owned,"Single, living with a partner",Disabled/Handicapped,Five,Four,Two,Two,One,None,None,12, , , , , , , , , , , , , , ,Yes,55, ,Some college,"Less than $15,000",White Non-Hispanic,Male Democrat/Republican,A Republican,d3 1-5 asked,Moderate,Yes,None,Male,Lutheran,Landline,"Yes, respondent or someone in household has cell phone", ,7, , ,Republicans,Moderate,30+,50+,18-64,55-64,No degree,Under $50k,Under $100k,Not married,Yes,White,Protestant,Religious,Yes,Wouldn't matter much,Frequently,too many/too few,Right amount,small/big,Small screen,at home/in theater,More at home,Prejudice played a role,Will watch,"Yes, will eat pizza",52413,Pepperoni,No,Yes,men/women,Women more romantic,size/quality,Quality
10000112,803,.379,OR,B,Center City (Metro),West,Pacific,Owned,Widowed,Retired,One,One,None,One, , , , , , , , , , , , , , , , , , , ,74, ,High school graduate,"$15,000 but less than $25,000",White Non-Hispanic,Male Democrat/Republican,An Independent,d3 5-1 asked,Moderate,Yes,None,Female,Nothing in particular,Landline,"Yes, respondent or someone in household has cell phone", ,0, , ,Independents,Moderate,30+,50+,65+,65+,No degree,Under $50k,Under $100k,Not married,No,White,None,Non-religious,No,Wouldn't matter much,Sometimes,too many/too few,Don't know/no answer,big/small,Small screen,at home/in theater,More at home,Quality of work,Will watch,"Yes, will eat pizza",42351,Pepperoni,No,No,women/men,Women more romantic,quality/size,Quality
10000113,803,1.1775,WA,C,Center City (Metro),West,Pacific,Owned,Married,Full-time,Two,Two,One,One, , , , , , , , , , , , , , , , , , , ,62, ,Graduate school or more,"$50,000 but less than $75,000",White Non-Hispanic,Male Democrat/Republican,A Democrat,d3 5-1 asked,Moderate,Yes,None,Female,"Catholic, Roman Catholic",Landline,"Yes, respondent or someone in household has cell phone", ,1, , ,Democrats,Moderate,30+,50+,18-64,55-64,Post grad,$50k but under $100k,Under $100k,Married,No,White,Catholic,Religious,Yes,Wouldn't matter much,Rarely,too many/too few,Right amount,small/big,Big screen,at home/in theater,More at home,Quality of work,Will watch,"Yes, will eat pizza",35214,Sausage,Yes,No,men/women,Women more romantic,size/quality,Size
10000114,803,.403,CA,A,Center City County (Metro),West,Pacific,Owned,Widowed,Part-time,One,One,None,One, , , , , , , , , , , , , , , , , , , ,67, ,Some college,"$15,000 but less than $25,000",Black Non-Hispanic,Male Democrat/Republican,A Democrat,d3 1-5 asked,Moderate,Yes,None,Female,Protestant,Landline,"Yes, respondent or someone in household has cell phone", ,1, , ,Democrats,Moderate,30+,50+,65+,65+,No degree,Under $50k,Under $100k,Not married,No,Black,Protestant,Religious,Yes,Wouldn't matter much,Rarely,too few/too many,Right amount,big/small,Small screen,at home/in theater,More at home,Quality of work,Won't watch, ,32451,Sausage,Yes,No,men/women,Women more romantic,quality/size,Size
10000115,803,1.8415,CA,B,Center City (Metro),West,Pacific,Owned,Married,Full-time,Two,Two,One,One, , , , , , , , , , , , , , , , , , , ,42, ,Graduated college,"$150,000 to under $200,000",White Non-Hispanic,Male Democrat/Republican,A Democrat,d3 5-1 asked,Somewhat liberal,Yes,None,Female,Atheist,Landline,"Yes, respondent or someone in household has cell phone", ,1, , ,Democrats,Liberal,30+,18-49,18-64,35-44,College,$100k+,$100k+,Married,No,White,None,Non-religious,No,Wouldn't matter much,Sometimes,too few/too many,Right amount,small/big,Big screen,at home/in theater,More at home,Don't know/no answer,Will watch,"No, won't eat pizza",12543,Mushrooms,Yes,No,men/women,Men more romantic,quality/size,Quality
10000116,803,.3161,IN,D,Non-Metro,North Central,East North Central,Owned,Widowed,Retired,One,One,None,One, , , , , , , , , , , , , , , , , , , ,77, ,High school graduate,"$25,000 but less than $30,000",White Non-Hispanic,Male Republican/Democrat,An Independent,d3 5-1 asked,Don't know,Yes,None,Female,"Catholic, Roman Catholic",Landline,"Yes, respondent or someone in household has cell phone", ,1, , ,Independents,Don't know/no answer,30+,50+,65+,65+,No degree,Under $50k,Under $100k,Not married,No,White,Catholic,Religious,Yes,Wouldn't matter much,Rarely,too few/too many,Right amount,small/big,Big screen,in theater/at home,Same amount,Don't know/no answer,Won't watch, ,45312,Pepperoni,No,No,women/men,Women more romantic,quality/size,Quality
10000117,803,.8218,NY,B,Center City County (Metro),North East,Mid Atlantic,Owned,"Single, that is never married",Full-time,Two,Two,Two,None, , , , , , , , , , , , , , , , , , , ,61, ,Graduate school or more,"$40,000 but less than $50,000",White Non-Hispanic,Male Republican/Democrat,Don't know,d3 1-5 asked,Don't know,Yes,None,Male,Protestant,Landline,No, , , , ,Independents,Don't know/no answer,30+,50+,18-64,55-64,Post grad,Under $50k,Under $100k,Not married,No,White,Protestant,Religious,Yes,Wouldn't matter much,Don't know/no answer,too many/too few,Too many,big/small,Small screen,at home/in theater,More at home,Don't know/no answer,Don't know/no answer, ,15423,Sausage,Yes,Yes,women/men,No difference,quality/size,Quality
10000118,803,.463,OH,B,Surburban (Metro),North Central,East North Central,Rented,"Single, that is never married",Retired,Two,Two,One,One, , , , , , , , , , , , , , , , , , , ,64, ,Some college,"$15,000 but less than $25,000",White Non-Hispanic,Male Republican/Democrat,Don't know,d3 1-5 asked,Moderate,Yes,Two,Male,Nothing in particular,Landline,"Yes, respondent or someone in household has cell phone", ,1, , ,Independents,Moderate,30+,50+,18-64,55-64,No degree,Under $50k,Under $100k,Not married,No,White,None,Non-religious,No,Wouldn't matter much,Sometimes,too few/too many,Too many,big/small,Big screen,at home/in theater,More at home,Quality of work,Will watch,"Yes, will eat pizza",15342,Sausage,Yes,No,men/women,Women more romantic,size/quality,Quality
10000119,803,.5162,FL,C,Non-Metro,South,South Atlantic,Owned,Divorced,Part-time,Two,Two,None,Two, , , , , , , , , , , , , , , , , , , ,63, ,Some college,"$50,000 but less than $75,000",White Non-Hispanic,Male Republican/Democrat,An Independent,d3 1-5 asked,Somewhat conservative,Yes,One,Female,Protestant,Landline,"Yes, respondent or someone in household has cell phone", ,1, , ,Independents,Conservative,30+,50+,18-64,55-64,No degree,$50k but under $100k,Under $100k,Not married,No,White,Protestant,Religious,Yes,Wouldn't matter much,Don't know/no answer,too many/too few,Don't know/no answer,small/big,Big screen,in theater/at home,More at home,Quality of work,Will watch,Don't know/no answer,34251,Mushrooms,Yes,No,men/women,Women more romantic,size/quality,Don't know/no answer
10000120,803,.2624,OH,B,Center City (Metro),North Central,East North Central,Rented,Divorced,Disabled/Handicapped,One,One,None,One, , , , , , , , , , , , , , , , , , , ,67, ,Less than high school graduate,"$15,000 but less than $25,000",Black Non-Hispanic,Male Republican/Democrat,A Democrat,d3 5-1 asked,Moderate,No,One,Female,Nothing in particular,Landline,"Yes, respondent or someone in household has cell phone", ,1, , ,Democrats,Moderate,30+,50+,65+,65+,No degree,Under $50k,Under $100k,Not married,No,Black,None,Non-religious,No,Wouldn't matter much,Frequently,too few/too many,Right amount,small/big,Big screen,at home/in theater,More at home,Quality of work,Won't watch, ,43251,Mushrooms,No,No,men/women,No difference,size/quality,Quality
10000121,803,.6861,MA,A,Surburban (Metro),North East,New England,Rented,Married,Full-time,Three,Three,One,Two, , , , , , , , , , , , , , , , , , , ,50, ,Graduated college,"$100,000 to under $150,000",White Non-Hispanic,Male Democrat/Republican,A Republican,d3 1-5 asked,Somewhat liberal,Yes,One,Female,Seventh-Day Adventist,Landline,No, , , , ,Republicans,Liberal,30+,50+,18-64,45-54,College,$100k+,$100k+,Married,No,White,Protestant,Religious,Yes,Wouldn't matter much,Sometimes,too many/too few,Right amount,small/big,Small screen,in theater/at home,More at home,Quality of work,Will watch,"No, won't eat pizza",23415,Onions,Yes,No,women/men,Women more romantic,size/quality,Quality
10000122,803,.3444,PA,A,Surburban (Metro),North East,Mid Atlantic,Owned,Divorced,Retired,One,One,None,One, , , , , , , , , , , , , , , , , , , ,66, ,Technical school/other,"$15,000 but less than $25,000",White Non-Hispanic,Male Democrat/Republican,A Democrat,d3 5-1 asked,Moderate,Yes,None,Female,"Catholic, Roman Catholic",Landline,"Yes, respondent or someone in household has cell phone", ,1, , ,Democrats,Moderate,30+,50+,65+,65+,No degree,Under $50k,Under $100k,Not married,No,White,Catholic,Religious,Yes,Wouldn't matter much,Rarely,too few/too many,Too many,big/small, Doesn't matter,in theater/at home,More at home,Quality of work,Won't watch, ,34512,Pepperoni,Yes,Yes,women/men,Women more romantic,size/quality,Size
10000123,803,1.0328,ME,C,Non-Metro,North East,New England,Owned,"Single, living with a partner",Full-time,Three,Three,One,Two, , , , , , , , , , , , , , , , , , , ,59, ,High school graduate,"$75,000 but less than $100,000",White Non-Hispanic,Male Democrat/Republican,An Independent,d3 5-1 asked,Somewhat conservative,Yes,None,Male,Protestant,Landline,"Yes, respondent or someone in household has cell phone", ,1, , ,Independents,Conservative,30+,50+,18-64,55-64,No degree,$50k but under $100k,Under $100k,Not married,No,White,Protestant,Religious,Yes,Wouldn't matter much,Never,too many/too few,Right amount,small/big,Big screen,in theater/at home,Same amount,Don't know/no answer,Depends, ,41235,Pepperoni,No,No,women/men,Women more romantic,quality/size,Quality
10000124,803,1.0201,GA,C,Surburban (Metro),South,South Atlantic,Owned,Married,Homemaker,Five,Two,One,One,None,Three,None, , , , , ,10,8,6, , , , , , , ,No,41, ,Graduated college,"$50,000 but less than $75,000",White Non-Hispanic,Male Democrat/Republican,A Republican,d3 1-5 asked,Very conservative,Yes,None,Female,Christian (Just Christian),Landline,"Yes, respondent or someone in household has cell phone", ,2, , ,Republicans,Conservative,30+,18-49,18-64,35-44,College,$50k but under $100k,Under $100k,Married,No,White,Protestant,Religious,Yes,Wouldn't matter much,Sometimes,too many/too few,Too many,big/small,Small screen,at home/in theater,More at home,Quality of work,Will watch,"No, won't eat pizza",15423,Mushrooms,Yes,No,men/women,Men more romantic,quality/size,Quality
10000125,803,.4551,FL,B,Center City (Metro),South,South Atlantic,Don't know,Refused,Retired,Two,Two,One,One, , , , , , , , , , , , , , , , , , , ,Refused,Refused,Graduated college,Refused,White Non-Hispanic,Male Republican/Democrat,A Republican,d3 5-1 asked,Somewhat conservative,Yes,None,Male,Protestant,Landline,"Yes, respondent or someone in household has cell phone", ,1, , ,Republicans,Conservative,Don't know/no answer,Don't know/no answer,Don't know/no answer,Don't know/no answer,College,Don't know/no answer,Don't know/no answer,Don't know/no answer,No,White,Protestant,Religious,Yes,Don't know/no answer,Don't know/no answer,too few/too many,Don't know/no answer,big/small,Small screen,in theater/at home,More at home,Don't know/no answer,Will watch,"No, won't eat pizza",14325,Don't eat pizza,No,Don't know/no answer,men/women,Don't know/no answer,quality/size,Quality
10000126,803,.25,MI,A,Center City County (Metro),North Central,East North Central,Rented,Widowed,Retired,One,One,None,One, , , , , , , , , , , , , , , , , , , ,85, ,High school graduate,"$50,000 but less than $100,000 (Unspecified)",White Non-Hispanic,Male Democrat/Republican,A Democrat,d3 5-1 asked,Somewhat liberal,Yes,None,Female,Protestant,Landline,No, , , , ,Democrats,Liberal,30+,50+,65+,65+,No degree,$50k but under $100k,Under $100k,Not married,No,White,Protestant,Religious,Yes,Wouldn't matter much,Rarely,too few/too many,Don't know/no answer,small/big,Big screen,in theater/at home,Same amount,Prejudice played a role,Depends, ,53124,Pepperoni,No,No,men/women,Women more romantic,size/quality,Quality
10000129,803,.4146,NC,D,Non-Metro,South,South Atlantic,Owned,"Single, that is never married",Full-time,Two,Two,One,One, , , , , , , , , , , , , , , , , , , ,19, ,Some college,"$25,000 but less than $30,000",Refused,Male Republican/Democrat,An Independent,d3 1-5 asked,Don't know,No,None,Male,Don't know,Landline,"Yes, respondent or someone in household has cell phone", ,2, , ,Independents,Don't know/no answer,18-29,18-49,18-64,18-34,No degree,Under $50k,Under $100k,Not married,No,Don't know/No answer,Don't know/no answer,Don't know/no answer,Don't know/no answer,Wouldn't matter much,Rarely,too many/too few,Too many,big/small,Small screen,at home/in theater,More at home,Quality of work,Will watch,"Yes, will eat pizza",13542,Pepperoni,Yes,Yes,women/men,No difference,size/quality,Quality
